"Key","Enabled","Is Group","Parent SAT Product or Service Key","Key Name","Description"
"10231700",1,1,"","10231700 - Crisantemo vivo espollado cremon","Crisantemo vivo espollado cremon"
"10231800",1,1,"","10231800 - Crisantemo vivo espollado football","Crisantemo vivo espollado football"
"10231900",1,1,"","10231900 - Crisantemo spider vivo","Crisantemo spider vivo"
"10232000",1,1,"","10232000 - Crisantemo vivo  novelty","Crisantemo vivo  novelty"
"10232100",1,1,"","10232100 - Crisantemo vivo santini","Crisantemo vivo santini"
"10241500",1,1,"","10241500 - Clavel vivo de floración sencilla","Clavel vivo de floración sencilla"
"10241600",1,1,"","10241600 - Clavel vivo mini o spray","Clavel vivo mini o spray"
"10251500",1,1,"","10251500 - Orquidea cypripedium  o pantuflas de dama viva","Orquidea cypripedium  o pantuflas de dama viva"
"10251600",1,1,"","10251600 - Orquídea mocara viva","Orquídea mocara viva"
"10251700",1,1,"","10251700 - Orquídea catleya viva","Orquídea catleya viva"
"10251800",1,1,"","10251800 - Orquídea disa viva","Orquídea disa viva"
"10251900",1,1,"","10251900 - Orquídea arachnis viva","Orquídea arachnis viva"
"10252000",1,1,"","10252000 - Orquídea phalaenopsis viva","Orquídea phalaenopsis viva"
"10252100",1,1,"","10252100 - Orquídea dendrobium viva","Orquídea dendrobium viva"
"10252200",1,1,"","10252200 - Orquídea cymbidium viva","Orquídea cymbidium viva"
"10252300",1,1,"","10252300 - Orquídea oncidium viva","Orquídea oncidium viva"
"10252400",1,1,"","10252400 - Orquídea vanda viva","Orquídea vanda viva"
"10301500",1,1,"","10301500 - Rosas cortadas frescas azules o lavanda o púrpura","Rosas cortadas frescas azules o lavanda o púrpura"
"10301600",1,1,"","10301600 - Rosas cortadas frescas chocolate o marrón","Rosas cortadas frescas chocolate o marrón"
"10301700",1,1,"","10301700 - Rosas cortadas frescas crema","Rosas cortadas frescas crema"
"10301800",1,1,"","10301800 - Rosas cortadas frescas verdes o lima","Rosas cortadas frescas verdes o lima"
"10301900",1,1,"","10301900 - Rosas cortadas frescas rosado claro","Rosas cortadas frescas rosado claro"
"10302000",1,1,"","10302000 - Rosas cortadas frescas multicolor rosados","Rosas cortadas frescas multicolor rosados"
"10302100",1,1,"","10302100 - Rosas cortadas frescas anaranjados","Rosas cortadas frescas anaranjados"
"10302200",1,1,"","10302200 - Rosas cortadas frescas durazno","Rosas cortadas frescas durazno"
"10302300",1,1,"","10302300 - Rosas cortadas frescas rosados","Rosas cortadas frescas rosados"
"10302400",1,1,"","10302400 - Rosas cortadas frescas rojos o burgundy","Rosas cortadas frescas rojos o burgundy"
"10302500",1,1,"","10302500 - Rosas cortadas frescas sweetheart","Rosas cortadas frescas sweetheart"
"10302600",1,1,"","10302600 - Rosas cortadas frescas blancos","Rosas cortadas frescas blancos"
"10302700",1,1,"","10302700 - Rosas cortadas frescas amarillos","Rosas cortadas frescas amarillos"
"10302800",1,1,"","10302800 - Rosas cortadas frescas spray","Rosas cortadas frescas spray"
"10311500",1,1,"","10311500 - Anturios cortados frescos","Anturios cortados frescos"
"10311600",1,1,"","10311600 - Allium cortado fresco","Allium cortado fresco"
"10311700",1,1,"","10311700 - Astromelia cortada fresca","Astromelia cortada fresca"
"10311800",1,1,"","10311800 - Amaranto cortado fresco","Amaranto cortado fresco"
"10311900",1,1,"","10311900 - Amaryllis cortado fresco","Amaryllis cortado fresco"
"10312000",1,1,"","10312000 - Anémona cortada fresca","Anémona cortada fresca"
"10312100",1,1,"","10312100 - Asclepia cortada fresca","Asclepia cortada fresca"
"10312200",1,1,"","10312200 - Aster cortada fresca","Aster cortada fresca"
"10312300",1,1,"","10312300 - Berzelia cortada fresca","Berzelia cortada fresca"
"10312400",1,1,"","10312400 - Bouvaria cortada fresca","Bouvaria cortada fresca"
"10312500",1,1,"","10312500 - Brodiaea cortada fresca","Brodiaea cortada fresca"
"10312600",1,1,"","10312600 - Calla cortada fresca","Calla cortada fresca"
"10312800",1,1,"","10312800 - Celosia cortada fresca","Celosia cortada fresca"
"10312900",1,1,"","10312900 - Narciso cortado fresco","Narciso cortado fresco"
"10313000",1,1,"","10313000 - Dalia cortada fresca","Dalia cortada fresca"
"10313100",1,1,"","10313100 - Delphinium cortado fresco","Delphinium cortado fresco"
"10313200",1,1,"","10313200 - Clavel (dianthus) cortado fresco","Clavel (dianthus) cortado fresco"
"10313300",1,1,"","10313300 - Eremruses cortadas frescas","Eremruses cortadas frescas"
"10313400",1,1,"","10313400 - Brezo (erica) cortada fresca","Brezo (erica) cortada fresca"
"10313500",1,1,"","10313500 - Euphorbia cortada fresca","Euphorbia cortada fresca"
"10313600",1,1,"","10313600 - Fresia cortada fresca","Fresia cortada fresca"
"10313700",1,1,"","10313700 - Ajedrezada cortada fresca","Ajedrezada cortada fresca"
"10313800",1,1,"","10313800 - Hiniesta cortada fresca","Hiniesta cortada fresca"
"10313900",1,1,"","10313900 - Margarita cortada fresca","Margarita cortada fresca"
"10314000",1,1,"","10314000 - Jengibre cortado fresco","Jengibre cortado fresco"
"10314100",1,1,"","10314100 - Gladiolo cortado fresco","Gladiolo cortado fresco"
"10314200",1,1,"","10314200 - Godetia cortada fresca","Godetia cortada fresca"
"10314300",1,1,"","10314300 - Bromelia cortada fresca","Bromelia cortada fresca"
"10314400",1,1,"","10314400 - Gypsophilia cortada fresca","Gypsophilia cortada fresca"
"10314500",1,1,"","10314500 - Brezo cortado fresco","Brezo cortado fresco"
"10314600",1,1,"","10314600 - Heliconia cortada fresca","Heliconia cortada fresca"
"10314700",1,1,"","10314700 - Jacinto cortado fresco","Jacinto cortado fresco"
"10314800",1,1,"","10314800 - Hydrangea cortada fresca","Hydrangea cortada fresca"
"10314900",1,1,"","10314900 - Iris cortada fresca","Iris cortada fresca"
"10315000",1,1,"","10315000 - Pata de canguro cortada fresca","Pata de canguro cortada fresca"
"10315100",1,1,"","10315100 - Delfinio cortado fresco","Delfinio cortado fresco"
"10315200",1,1,"","10315200 - Lepto cortado fresco","Lepto cortado fresco"
"10315300",1,1,"","10315300 - Lila cortada fresca","Lila cortada fresca"
"10315400",1,1,"","10315400 - Azucena cortada fresca","Azucena cortada fresca"
"10315500",1,1,"","10315500 - Lavanda cortada fresca","Lavanda cortada fresca"
"10315600",1,1,"","10315600 - Lisianthus cortado fresco","Lisianthus cortado fresco"
"10315700",1,1,"","10315700 - Muscari cortada fresca","Muscari cortada fresca"
"10315800",1,1,"","10315800 - Narciso cortado fresco","Narciso cortado fresco"
"10316000",1,1,"","10316000 - Pimientos ornamentales cortados frescos","Pimientos ornamentales cortados frescos"
"10316100",1,1,"","10316100 - Estrella de Belén cortada fresca","Estrella de Belén cortada fresca"
"10316200",1,1,"","10316200 - Peonia cortada fresca","Peonia cortada fresca"
"10316300",1,1,"","10316300 - Banksia cortada fresca","Banksia cortada fresca"
"10316400",1,1,"","10316400 - Ranúculo cortado fresco","Ranúculo cortado fresco"
"10316500",1,1,"","10316500 - Escabiosa cortada fresca","Escabiosa cortada fresca"
"10316600",1,1,"","10316600 - Retama de escobas cortada fresca","Retama de escobas cortada fresca"
"10316700",1,1,"","10316700 - Boca de dragón cortada fresca","Boca de dragón cortada fresca"
"10316800",1,1,"","10316800 - Romero del pantano cortada fresca","Romero del pantano cortada fresca"
"10316900",1,1,"","10316900 - Matiola cortada fresca","Matiola cortada fresca"
"10317000",1,1,"","10317000 - Girasol cortada fresca","Girasol cortada fresca"
"10317100",1,1,"","10317100 - Guisante de olor cortado fresco","Guisante de olor cortado fresco"
"10317200",1,1,"","10317200 - Cardo cortado fresco","Cardo cortado fresco"
"10317300",1,1,"","10317300 - Tulipán cortado fresco","Tulipán cortado fresco"
"10317400",1,1,"","10317400 - Flor de cera cortada fresca","Flor de cera cortada fresca"
"10317500",1,1,"","10317500 - Hierba de aquiles cortada fresca","Hierba de aquiles cortada fresca"
"10317600",1,1,"","10317600 - Zinia cortada fresca","Zinia cortada fresca"
"10317700",1,1,"","10317700 - Forsythia cortada fresca","Forsythia cortada fresca"
"10317800",1,1,"","10317800 - Geranio cortado fresco","Geranio cortado fresco"
"10317900",1,1,"","10317900 - Amaryllis cortada fresca","Amaryllis cortada fresca"
"10318000",1,1,"","10318000 - Rubdeckia cortada fresca","Rubdeckia cortada fresca"
"10318100",1,1,"","10318100 - Protea cortada fresca","Protea cortada fresca"
"10318200",1,1,"","10318200 - leucadendron cortado fresco","leucadendron cortado fresco"
"10318300",1,1,"","10318300 - leucospermum cortado fresco","leucospermum cortado fresco"
"10321500",1,1,"","10321500 - Agapanto cortado fresco","Agapanto cortado fresco"
"10321600",1,1,"","10321600 - Alchimilla cortada fresca","Alchimilla cortada fresca"
"10321700",1,1,"","10321700 - Astilbe cortado fresco","Astilbe cortado fresco"
"10321800",1,1,"","10321800 - angélica cortada fresca","angélica cortada fresca"
